Timestamp,Gender,Age,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
5/8/16 23:23,Female,22,written by Wright,written by program,written by program,written by Wright,written by Wright,written by Wright,written by Wright,written by Wright,written by program,written by Wright
5/8/16 23:27,Male,19,written by Wright,written by Wright,written by Wright,written by program,written by program,written by Wright,written by Wright,written by Wright,written by Wright,written by Wright
5/8/16 23:32,Female,21,written by Wright,written by Wright,written by program,written by Wright,written by program,written by program,written by program,written by Wright,written by Wright,written by program
5/8/16 23:38,Female,19,written by program,written by program,written by Wright,written by Wright,written by program,written by Wright,written by program,written by Wright,written by Wright,written by program
5/8/16 23:38,Male,22,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program,written by Wright,written by program
5/8/16 23:51,Female,21,written by Wright,written by Wright,written by program,written by program,written by Wright,written by Wright,written by Wright,written by program,written by program,written by Wright
5/9/16 0:14,Male,21,written by program,written by program,written by Wright,written by Wright,written by Wright,written by Wright,written by program,written by Wright,written by Wright,written by Wright
5/9/16 0:16,Male,23,written by program,written by program,written by Wright,written by program,written by program,written by program,written by Wright,written by Wright,written by program,written by program
5/9/16 0:26,Female,22,written by Wright,written by program,written by Wright,written by program,written by program,written by program,written by Wright,written by Wright,written by Wright,written by program
5/9/16 0:26,Male,22,written by Wright,written by Wright,written by program,written by program,written by program,written by program,written by Wright,written by program,written by program,written by Wright
5/9/16 0:36,Female,20,written by Wright,written by program,written by program,written by Wright,written by program,written by program,written by program,written by Wright,written by Wright,written by Wright
5/9/16 0:38,Male,21,written by Wright,written by program,written by Wright,written by program,written by Wright,written by program,written by Wright,written by program,written by program,written by Wright
5/9/16 0:48,Female,20,written by program,written by Wright,written by Wright,written by program,written by Wright,written by program,written by Wright,written by program,written by program,written by program
5/9/16 1:07,Male,20,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 1:23,Male,21,written by program,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by Wright,written by Wright,written by Wright
5/9/16 1:28,Female,22,written by program,written by Wright,written by Wright,written by program,written by program,written by Wright,written by Wright,written by Wright,written by Wright,written by Wright
5/9/16 1:38,Male,34,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
